country,YearFirstPTASigned,YearLastPTASigned,Nombre de normes signées,IAE moyen
ACP,1975,2000,176,3.0
ASEAN,1977,2018,129,1.6666666666666667
Afghanistan,2003,2003,7,1.0
Albania,2002,2014,111,1.0769230769230769
Algeria,1962,2018,88,1.2307692307692308
Andean Community,1969,2004,29,1.25
Andorra,1990,1990,1,1.0
Angola,1981,2018,153,1.6666666666666667
Antigua and Barbuda,1965,2019,257,1.588235294117647
Argentina,1960,2017,175,1.1666666666666667
Armenia,1947,2019,229,1.4210526315789473
Australia,1947,2020,742,2.1785714285714284
Austria,1947,2018,1063,3.35
Azerbaijan,1994,2003,23,1.0
"Bahamas, The",1994,2019,135,3.0
Bahrain,1981,2014,114,1.4
Bangladesh,1975,2014,53,1.2
Barbados,1965,2019,182,1.8888888888888888
Belarus,1992,2019,97,1.3636363636363635
Belgium,1947,2018,1021,3.0
Belize,1994,2019,172,2.1666666666666665
Benin,1963,2018,141,1.3846153846153846
Bhutan,1972,2006,3,1.0
Bolivia,1980,2014,104,1.3636363636363635
Bosnia and Herzegovina,2000,2019,159,1.3076923076923077
Botswana,1981,2018,133,1.6666666666666667
Brazil,1947,2020,180,1.2142857142857142
Brunei Darussalam,1994,2020,359,3.0
Bulgaria,1947,2018,1129,2.2941176470588234
Burkina Faso,1961,2018,146,1.3571428571428572
Burundi,1963,2018,272,1.8666666666666667
CARICOM,1973,2004,85,1.375
Cabo Verde,1991,2018,91,1.6
Cambodia,2014,2020,31,1.0
Cameroon,1961,2020,130,1.4666666666666666
Canada,1947,2020,1408,3.2
Central African Republic,1959,2018,107,1.4285714285714286
Chad,1959,2018,107,1.4615384615384615
Chile,1947,2020,1359,2.22
China,1947,2020,529,2.0
Colombia,1980,2018,762,1.8333333333333333
Comoros,1981,2019,153,2.0
"Congo, Dem. Rep.",1963,2018,157,1.7272727272727273
"Congo, Rep.",1959,2018,131,1.5
Cook Islands,1980,2017,53,1.6666666666666667
Costa Rica,1958,2014,829,2.3448275862068964
Cote d'Ivoire,1963,2020,179,1.5
Croatia,1997,2018,1041,2.5555555555555554
Cuba,1947,2014,107,1.125
Cyprus,1947,2018,986,3.210526315789474
Czechia,1947,2018,1036,2.272727272727273
Czechoslovakia,1947,1967,2,1.0
Denmark,1947,2018,1036,2.5172413793103448
Djibouti,1981,2018,129,1.625
Dominica,1968,2019,169,1.875
Dominican Republic,1967,2019,304,2.230769230769231
EAC,1968,2016,155,2.0
EC,1961,2020,2214,2.0784313725490198
EFTA,1960,2018,971,1.7555555555555555
Ecuador,1980,2020,246,1.5294117647058822
"Egypt, Arab Rep.",1962,2018,171,1.2692307692307692
El Salvador,1951,2017,604,2.0344827586206895
Equatorial Guinea,1983,2018,56,1.8
Eritrea,1993,2015,87,3.0
Estonia,1947,2018,1088,2.264705882352941
Eswatini,2018,2019,30,1.5
Ethiopia,1981,2018,120,2.0
Faroe Islands,1991,2005,32,1.0
Fiji,1980,2019,65,1.1666666666666667
Finland,1947,2018,1091,2.6206896551724137
France,1947,2018,1023,2.9130434782608696
GCC,2008,2009,29,1.0
Gabon,1959,2018,107,1.4615384615384615
"Gambia, The",1975,2018,129,1.625
Georgia,1994,2019,355,1.8
Germany,1947,2018,1023,3.0
Ghana,1961,2018,130,1.4545454545454546
Greece,1947,2018,1027,2.8333333333333335
Grenada,1968,2019,169,1.875
Guatemala,1958,2015,660,2.03125
Guinea,1962,2018,76,1.2857142857142858
Guinea-Bissau,1975,2018,116,1.5714285714285714
Guyana,1965,2019,186,1.7272727272727273
Haiti,1979,2019,95,1.8333333333333333
Honduras,1958,2015,718,2.259259259259259
"Hong Kong SAR, China",1947,2019,267,1.9230769230769231
Hungary,1947,2018,1077,2.4516129032258065
Iceland,1947,2021,242,1.8333333333333333
India,1947,2014,245,1.3703703703703705
Indonesia,1967,2020,101,1.3333333333333333
"Iran, Islamic Rep.",1988,2018,29,1.0
Iraq,1953,1997,4,1.0
Ireland,1947,2018,1037,2.466666666666667
Israel,1947,2019,276,1.3703703703703705
Italy,1947,2018,1021,3.0952380952380953
Jamaica,1967,2019,179,2.0
Japan,1947,2020,929,2.5
Jordan,1953,2014,170,1.1842105263157894
Kazakhstan,1994,2019,198,1.5714285714285714
Kenya,1979,2020,213,2.0
Kiribati,1980,2017,53,1.6666666666666667
"Korea, Dem. People's Rep.",1988,1988,1,1.0
"Korea, Rep.",1947,2020,1077,2.5
Kosovo,2003,2015,51,1.3333333333333333
Kuwait,1972,2014,67,1.1666666666666667
Kyrgyz Republic,1992,2019,101,1.2142857142857142
Lao PDR,1975,2020,39,1.0
Latvia,1947,2018,1095,2.303030303030303
Lebanon,1947,2004,46,1.1
Lesotho,1981,2018,196,1.9
Liberia,1973,2018,86,1.5
Libya,1981,2018,58,1.2
Liechtenstein,1947,2021,199,2.142857142857143
Lithuania,1947,2018,1085,2.303030303030303
Luxembourg,1947,2018,1021,3.0
MERCOSUR,1991,2018,93,1.0625
"Macao SAR, China",1994,2017,46,1.25
Madagascar,1963,2019,259,1.8333333333333333
Malawi,1967,2018,184,1.5384615384615385
Malaysia,1967,2020,530,2.4375
Maldives,1993,2014,32,1.25
Mali,1962,2018,133,1.3333333333333333
Malta,1947,2018,986,3.3333333333333335
Marshall Islands,2017,2017,48,3.0
Mauritania,1963,2018,144,1.3333333333333333
Mauritius,1979,2019,286,1.7857142857142858
Mexico,1960,2018,931,1.7551020408163265
"Micronesia, Fed. Sts.",2017,2017,48,3.0
Moldova,1993,2020,308,1.5
Monaco,1963,1963,0,1.0
Mongolia,2014,2015,59,2.0
Montenegro,2006,2014,108,1.6666666666666667
Montserrat,1968,1981,4,1.0
Morocco,1962,2018,155,1.2592592592592593
Mozambique,1981,2019,225,1.7692307692307692
Myanmar,1947,2020,68,1.4
Namibia,1991,2018,193,1.8181818181818181
Nauru,2001,2017,52,2.0
Nepal,1991,2014,13,1.0
Netherlands,1947,2018,1021,3.0
New Zealand,1947,2020,859,2.652173913043478
Nicaragua,1951,2014,595,2.0357142857142856
Niger,1963,2018,146,1.4166666666666667
Nigeria,1967,2018,135,1.4545454545454546
Niue,1980,2017,53,1.6666666666666667
North Macedonia,1996,2014,128,1.0714285714285714
Norway,1947,2021,227,1.5625
Oman,1981,2014,107,1.5
Pakistan,1947,2014,102,1.2105263157894737
Palau,2017,2017,48,3.0
"Palestine, State of",1981,1998,39,1.1666666666666667
Panama,1961,2014,695,1.967741935483871
Papua New Guinea,1976,2019,93,1.25
Paraguay,1960,2020,63,1.0714285714285714
Peru,1960,2018,1087,2.2972972972972974
Philippines,1971,2020,154,1.7142857142857142
Poland,1947,2018,1067,2.4516129032258065
Portugal,1947,2018,1023,3.0
Qatar,1980,2014,55,1.1
Romania,1947,2018,1114,2.393939393939394
Russian Federation,1992,2019,113,1.2857142857142858
Rwanda,1963,2018,272,1.9285714285714286
SACU,1969,2019,78,1.4285714285714286
Sahrawi Arab Democratic Republic,2018,2018,9,1.0
Samoa,1980,2017,61,1.5
San Marino,1991,1991,7,1.0
Sao Tome and Principe,1983,2018,39,2.0
Saudi Arabia,1962,2014,32,1.0
Senegal,1963,2018,146,1.3846153846153846
Serbia,1967,2019,131,1.1176470588235294
Seychelles,1981,2019,208,2.142857142857143
Sierra Leone,1967,2018,129,1.5
Singapore,1947,2020,817,2.111111111111111
Slovak Republic,1947,2018,1062,2.375
Slovenia,1947,2018,1079,2.235294117647059
Solomon Islands,1980,2017,59,1.5
Somalia,1963,2018,107,1.4444444444444444
South Africa,1947,2018,159,1.75
South Sudan,2018,2018,9,1.0
Spain,1947,2018,1022,2.9130434782608696
Sri Lanka,1947,2018,68,1.1538461538461537
St. Kitts and Nevis,1968,2019,254,1.625
St. Lucia,1968,2019,169,1.875
St. Vincent and the Grenadines,1968,2019,254,1.625
Sudan,1966,2018,122,1.4545454545454546
Suriname,1979,2019,178,2.142857142857143
Swaziland,1981,2016,187,2.0
Sweden,1947,2018,1069,3.0434782608695654
Switzerland,1947,2014,176,1.5714285714285714
Syrian Arab Republic,1947,2006,19,1.0
"Taiwan, Province of China",1947,2017,318,2.5
Tajikistan,1994,2014,31,1.0
Tanzania,1979,2018,231,1.75
Thailand,1988,2020,206,1.8
Togo,1963,2018,140,1.4545454545454546
Tonga,1980,2017,61,1.5
Trinidad and Tobago,1967,2019,288,1.55
Tunisia,1955,2018,120,1.25
Turkiye,1963,2020,428,1.288888888888889
Turkmenistan,1994,2003,15,1.0
Tuvalu,1980,2017,53,1.6666666666666667
Uganda,1979,2018,163,1.875
Ukraine,1992,2020,413,1.64
United Arab Emirates,1967,2014,56,1.0714285714285714
United Kingdom,1947,2021,1909,2.625
United States,1947,2018,1532,3.5483870967741935
Uruguay,1960,2016,169,1.25
Uzbekistan,1994,2003,24,1.0
Vanuatu,1993,2017,62,1.5
"Venezuela, RB",1980,2014,100,1.16
