Titre,Statut,Période,Durée,Genre,Réalisateur,Perso Principal,Nationalité,Chaîne,Note press,Critiques press,Note public,Saisons,Épisodes,Description
Alphas,Annulée,2011 - 2012,42,Drame,Gail Berman,David Strathairn,U.S.A.,SyFy US,3.9,7,3.9,2,24,Des personnes dotées de capacités neurologiques hyper-développées travaillent pour une agence secrète du gouvernement.
Wolfblood,Annulée,2012 - 2017,26,Drame,Debbie Moon,Bobby Lockwood,Grande-Bretagne,CBBC,,,4.0,5,62,"Nouvel élève au lycée de Stoneybridge, Rhydian, qui se croyait jusqu'alors seul au monde, croise le chemin de Maddy, dont il découvre la vraie nature. Alors qu'il apprennent à se connaître, ils confrontent leurs expériences. Une aubaine pour le jeune homme, vu que sa nouvelle camarade a appris à contrôler ses pouvoirs depuis l'enfance..."
The Frankenstein Chronicles,Annulée,2015 - 2017,52,Drame,Benjamin Ross,Sean Bean,Grande-Bretagne,ITV,,,4.0,2,12,"Londres, 1827. Alors que la police fluviale de la Tamise vient d’appréhender des trafiquants d’opium, le cadavre d’un enfant est découvert. L’inspecteur John Marlott est horrifié quand il découvre qu’il s’agit en fait d’un grotesque assemblage de différents corps. Son enquête à la poursuite du tueur va le mener dans les bas-fonds du Londres du 19ème siècle, un monde fait de prostitution, trafic de drogue, kidnapping, meurtres…mais aussi dans les hautes sphères médicales et politiques à l’heure où le progrès scientifique est en marche. &nbsp;Une chose est sûre : un pouvoir diabolique est à l’œuvre dans la ville, et apparemment il tente de réanimer les morts dans une curieuse parodie du roman Frankenstein."
Being Human (US),Annulée,2011 - 2014,42,Drame,Jeremy Carver,Sam Witwer,U.S.A.,SyFy US,,,3.9,4,52,"Trois colocataires âgés d'une trentaine d'années tentent de s'entraider et gérer ensemble la difficulté de mener une double-vie... Il faut dire que l'un est un loup-garou, l'autre est un vampire et le dernier est un fantôme ! L'adaptation américaine de Being Human"
Les Revenants,Terminée,2012 - 2015,52,Drame,Fabrice Gobert,Anne Consigny,France,Canal +,4.2,12,4.2,2,16,"Dans une ville de montagne dominée par un gigantesque barrage, le même jour, plusieurs personnes d’âges et de milieux différents, toutes désorientées, cherchent à rentrer chez eux. Ils ne savent pas encore qu’ils sont morts depuis plusieurs années, qu’ils n’ont pas vieilli et que personne ne les attend. Déterminés à reprendre une place qui n’existe plus, ils découvrent peu à peu qu’ils ne sont pas les seuls revenants et que leur retour s’accompagne de dérèglements croissants. Et si ce n’était que le début d’un bouleversement plus majeur encore ?"
The Hollow Crown,,2012 - 2016,130,Drame,,Jamie Ballard,Grande-Bretagne,BBC Two,,,3.5,2,14,"L’histoire de l'Angleterre, de la Cour de Westminster en 1399, jusqu’aux champs de bataille de France et d’Angleterre à travers le règne de trois rois, Richard II, Henri IV et Henri V, pendant 16 années de jeux de pouvoirs politiques et monarchiques."
Accused,,2010 - 2012,52,Drame,Jimmy McGovern,Sheridan Smith,Grande-Bretagne,BBC,,,3.8,2,10,"Des hommes et des femmes défilent devant la cour de Justice, le jour où leur destin se joue..."
La Loi selon Harry,Annulée,2011 - 2012,42,Comédie,David E. Kelley,Kathy Bates,U.S.A.,NBC,,,3.7,2,34,"Lassée de sa spécialisation en droit des brevets, Harriet, surnommée Harry, est renvoyée par le cabinet qui l'employait. Après avoir échappé à la mort, l'avocate décide de monter sa propre affaire, épaulée par Jenna, sa fidèle assistante, Malcolm, son premier client, déterminé à se racheter une conduite, et Adam, un jeune avocat un peu fou. Tous ensemble, ils vont prendre un nouveau départ... dans une boutique de chaussures abandonnée !"
Dark Blue : Unité Infiltrée,,2009 - 2010,42,Drame,Danny Cannon,Dylan McDermott,U.S.A.,TNT,,,3.7,2,20,"Carter Shaw dirige une unité de la police de Los Angeles spécialisée dans l'infiltration. Confrontés à toutes sortes de tentations, ses agents pourraient bien être tentés de franchir la ligne... et basculer du mauvais côté !"
Detroit 1-8-7,,2010 - 2011,42,Drame,Jason Richman,Michael Imperioli,U.S.A.,ABC,,,3.6,1,18,"Les enquêtes d'une unité de la police de Detroit, dans le Michigan, l'une des villes les plus difficiles en terme de criminalité. Le quotidien de policiers qui font preuve de courage et d'héroïsme dans des quartiers défavorisés de la ville."
