DATAFLOW,LAST UPDATE,freq,unit,s_adj,na_item,geo,TIME_PERIOD,X,M
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1995-Q1,37895,37069.7
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1995-Q2,37042.7,36815.3
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1995-Q3,36464.4,36729.8
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1995-Q4,37147.3,37627.1
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1996-Q1,38009.3,38426.3
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1996-Q2,38817.1,38899.2
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1996-Q3,39130,39071.1
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1996-Q4,40000.7,39770.3
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1997-Q1,41432.3,41040.5
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1997-Q2,42449.3,42209.7
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1997-Q3,43153.5,42722.4
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1997-Q4,43720.1,43066.2
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1998-Q1,44051.3,43400.3
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1998-Q2,44481.4,44222.8
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1998-Q3,44968.6,45115.2
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1998-Q4,44318.7,44841.4
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1999-Q1,44261.5,44250
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1999-Q2,45718.3,45075.4
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1999-Q3,47490.8,46445.6
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,1999-Q4,48972.7,47793.5
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,2000-Q1,51033.9,50244.6
ESTAT:NAMQ_10_GDP(1.0),5/3/2024 23:00,Q,CLV10_MEUR,SCA,P6,BE,2000-Q2,52086.7,51533.2
