Trade.Agreement,IAE,IAE_sum,IAE_factor
1_Afghanistan India_2003,1,1,1
10_Albania Kosovo_2003,1,1,1
100_Bangkok Agreement_1975,1,1,1
1000_COMESA EAC SADC_2015,2,2,2
1003_Brazil_Venezuela_2012,1,1,1
1007_USMCA_2018,7,6,6
1008_EC Singapore Investment Protection Agreement_2018,1,1,1
1010_EC Vietnam Investment Protection Protocol_2019,1,1,1
1011_Bosnia and Herzegovina Turkey_2019,1,1,1
1012_Ecuador El Salvador_2017,2,2,1
1013_Georgia Hong Kong_2018,2,2,1
1014_Mexico Peru_2011,2,2,1
1015_Australia Hong Kong_2019,2,2,1
1017_Korea UK_2019,4,3,3
1022_Georgia UK_2019,4,3,3
1031_Pacific States UK_2019,1,1,1
1035_Eastern and Southern African States UK_2019,2,2,2
1036_CARIFORUM UK_2019,3,2,2
1037_Southern African Customs Union Mozambique (SACUM) UK_2019,2,2,2
1038_Brazil Paraguay_2020,1,1,1
1040_Eurasian Economic Union (EAEU)_2014,2,1,1
1041_EFTA Turkey_2018,3,2,2
1043_Paraguay Taiwan_2017,1,1,1
1044_Regional Comprehensive Economic Partnership (RCEP)_2020,1,2,1
1045_Colombia Mexico_2011,1,1,1
1046_EC UK_2020,5,5,5
1047_China Mauritius_2019,2,2,1
1048_Turkey UK_2020,3,1,1
1049_Japan UK_2020,4,4,4
1051_Cote d'Ivoire UK_2020,1,1,1
1052_Kenya UK_2020,3,3,2
1053_Moldova UK_2020,5,4,4
1056_UK Ukraine_2020,4,4,3
1058_Cameroon UK_2020,2,2,2
1059_Canada UK_2020,2,2,2
1061_Israel Ukraine_2019,4,2,2
1062_Eastern and Southern Africa States (ESA) EC Interim EPA_2009,3,3,2
1063_Association of Southeast Asian Nations (ASEAN) Hong Kong_2018,1,2,1
1064_Ecuador Guatemala_2011,2,1,1
1065_Canada Israel_2018,4,3,3
1068_El Salvador Panama_1976,1,1,1
1069_El Salvador Panama_1986,1,1,1
1070_Colombia MERCOSUR services_2018,1,1,1
1071_Namibia Zimbabwe_2009,1,1,1
1073_Brazil Chile_2018,5,4,4
1074_Chile China_2017,2,2,2
1079_Group of Three Protocol_2010,1,1,1
1080_Chile Ecuador_2020,5,4,4
1081_Australia UK_1957,1,1,1
1082_Iceland Liechtenstein Norway UK_2021,5,5,5
1084_Armenia Belarus Kazakhstan Kyrgyzstan Russia (EAEU) Serbia_2019,1,1,1
109_Belarus Russia (Union State)_1999,1,1,1
11_Albania Macedonia_2002,1,1,1
112_Belarus Serbia_2009,1,1,1
114_Belarus Ukraine_1992,1,1,1
115_Belize Guatemala_2006,1,1,1
116_Bhutan India_2006,1,1,1
117_Bhutan India_1972,1,1,1
119_Bolivia Chile_1993,2,1,1
12_Albania Moldova_2003,1,1,1
121_Bolivia Cuba_2000,1,1,1
123_Bolivia MERCOSUR_1996,2,1,1
124_Bolivia Mexico_1994,2,2,2
125_Bolivia Paraguay_1994,1,1,1
126_Bolivia Uruguay_1991,1,1,1
128_Bosnia and Herzegovina Bulgaria_2003,1,1,1
129_Bosnia and Herzegovina Croatia_2000,1,1,1
13_Albania Romania_2003,1,1,1
130_Bosnia and Herzegovina EC SAA_2008,2,2,2
131_Bosnia and Herzegovina Macedonia_2002,1,1,1
132_Bosnia and Herzegovina Moldova_2002,1,1,1
133_Bosnia and Herzegovina Romania_2003,1,1,1
134_Bosnia and Herzegovina Serbia Montenegro_2002,1,1,1
135_Bosnia and Herzegovina Slovenia_2001,1,1,1
136_Bosnia and Herzegovina Turkey_2002,1,1,1
138_Brazil Cuba_1989,1,1,1
138a_Brazil Cuba_1992,1,1,1
139_Brazil Cuba_1999,1,1,1
14_Albania Serbia_2004,1,1,1
140_Brazil Guyana_2001,1,1,1
141_Brazil Mexico_2002,1,1,1
142_Brazil Peru_1993,1,1,1
143_Brazil Suriname_2005,1,1,1
144_Brazil Uruguay_1986,1,1,1
146_Brunei Japan_2007,2,2,2
147_Bulgaria Czech Republic_1995,1,1,1
148_Bulgaria EC_1993,3,3,2
149_Bulgaria EFTA_1993,1,1,1
15_Albania Turkey_2006,1,1,1
150_Bulgaria Estonia_2001,1,1,1
151_Bulgaria Finland_1974,1,1,1
152_Bulgaria Israel_2001,1,1,1
153_Bulgaria Latvia_2002,1,1,1
154_Bulgaria Lithuania_2001,1,1,1
155_Bulgaria Macedonia_1999,1,1,1
156_Bulgaria Moldova_2004,1,1,1
157_Bulgaria Serbia_2003,1,1,1
158_Bulgaria Slovakia_1995,1,1,1
159_Bulgaria Slovenia_1996,1,1,1
16_Algeria EC_1976,1,1,1
160_Bulgaria Turkey_1998,1,1,1
161_Canada Chile_1996,5,3,3
162_Canada Colombia_2008,5,4,3
163_Canada Costa Rica_2001,4,2,2
164_Canada EFTA_2008,1,1,1
165_Canada Israel_1996,1,1,1
166_Canada Jordan_2009,5,3,3
167_Canada New Zealand_1981,1,1,1
168_Canada Peru_2008,5,4,3
169_Canada US_1988,1,1,1
17_Algeria EC Euro-Med Association Agreement_2002,2,2,1
170_Canada US Automotive Products Trade Agreement (APTA)_1965,1,1,1
171_Caribbean Community (CARICOM)_1973,1,1,1
172_Caribbean Community (CARICOM) Colombia_1994,1,1,1
173_Caribbean Community (CARICOM) Costa Rica_2004,1,1,1
174_Caribbean Community (CARICOM) Cuba_2000,1,1,1
175_Caribbean Community (CARICOM) Dominican Republic_1998,1,1,1
176_Caribbean Community (CARICOM) Protocol on Services_1997,1,1,1
177_Caribbean Community (CARICOM) revised _2001,4,3,2
178_Caribbean Community (CARICOM) Venezuela_1992,1,1,1
179_Caribbean Free Trade Association (CARIFTA)_1965,1,1,1
18_Algeria Jordan_1997,1,1,1
180_Caribbean Free Trade Association (CARIFTA)_1968,1,1,1
181_CARIFORUM EC EPA_2008,4,4,3
182_Central African Customs and Economic Union (UDEAC)_1964,1,1,1
183_Central America Chile_1999,2,2,1
184_Central America Dominican Republic_1998,2,2,1
185_Central America Panama_2002,2,2,1
186_Central American Common Market (CACM)_1960,1,1,1
187_Central American Free Trade Agreement (CAFTA)_2004,6,3,3
188_Agreement Secretariat Environmental Matters FTA_2006,2,1,1
188_Central American Free Trade Agreement (CAFTA) Dominican Republic_2004,6,4,4
188_understanding establishment secretariat environmental matters CAFTA-DR_2005,2,1,1
189_Central American Free Trade Area (CAFTA)_1958,1,1,1
19_Algeria Morocco_1989,1,1,1
190_Central American Integration System_1991,1,1,1
192_Central European Free Trade Agreement (CEFTA)_1992,1,1,1
192+1_Central European Free Trade Agreement (CEFTA) Slovenia accession_1995,1,1,1
192+2_Central European Free Trade Agreement (CEFTA) Romania accession_1997,1,1,1
192+3_Central European Free Trade Agreement (CEFTA) Bulgaria accession_1998,1,1,1
192+4_Central European Free Trade Agreement (CEFTA) Croatia accession_2002,1,1,1
193_Central European Free Trade Agreement (CEFTA)_2006,1,1,1
199_Chile China_2005,2,2,2
2_African Common Market_1962,1,1,1
20_Algeria Tunisia_2008,1,1,1
200_Chile Colombia_1993,1,1,1
201_Chile Colombia_2006,4,3,2
202_Chile EC_2002,4,2,2
203_Chile Ecuador_1994,1,1,1
204_Chile Ecuador_2008,1,1,1
205_Chile_EFTA_2003,1,1,1
206_Chile India_2006,1,1,1
207_Chile Japan_2007,1,1,1
208_Chile Korea_2003,2,2,2
209_Chile MERCOSUR_1996,1,1,1
210_Chile MERCOSUR Protocol on Services_2009,1,1,1
211_Chile Mexico_1991,1,1,1
212_Chile Mexico_1998,2,2,2
213_Chile Panama_2006,1,1,1
215_Chile Peru_1998,1,1,1
216_Chile Turkey_2009,3,2,2
217_Chile Uruguay_1985,1,1,1
218_Chile US_2003,5,3,3
