Trade.Agreement,HBTypeCode,Language,NorthSouth,Number,NumberMS,Sectoral,TypeDepth,TypeMemb,US_Partners,WTOListed,WTOTypeCode,Year,reg_africa,reg_americas,reg_asia,reg_europe,reg_intercontinental,reg_oceania,Nombre de normes,IAE,regioncon
1_Afghanistan India_2003,1.0,1.0,3,1,2.0,0.0,1.0,1.0,0,1.0,1,2003,1.0,0.0,0.0,0.0,0.0,0.0,2,1,Asia
10_Albania Kosovo_2003,2.0,1.0,3,10,2.0,0.0,2.0,1.0,0,1.0,2,2003,0.0,0.0,0.0,1.0,0.0,0.0,6,1,Europe
100_Bangkok Agreement_1975,1.0,1.0,3,100,5.0,0.0,1.0,2.0,0,1.0,1,1975,0.0,0.0,1.0,0.0,0.0,0.0,1,1,Asia
1000_COMESA EAC SADC_2015,2.0,1.0,3,1000,26.0,0.0,,4.0,1,0.0,,2015,1.0,0.0,0.0,0.0,0.0,0.0,24,2,Africa
1003_Brazil_Venezuela_2012,,,3,1003,,,,,0,,,2012,,,,,,,0,1,Americas
1007_USMCA_2018,2.0,1.0,2,1007,3.0,0.0,2.0,2.0,2,0.0,2,2018,0.0,1.0,0.0,0.0,0.0,0.0,153,7,Americas
1008_EC Singapore Investment Protection Agreement_2018,,,2,1008,,,,,1,,,2018,,,,,,,8,1,
1010_EC Vietnam Investment Protection Protocol_2019,,,2,1010,,,,,1,,,2019,,,,,,,6,1,
1011_Bosnia and Herzegovina Turkey_2019,,,3,1011,,,,,0,,,2019,,,,,,,8,1,Intercontinental
1012_Ecuador El Salvador_2017,,,3,1012,,,,,1,,,2017,,,,,,,17,2,Americas
1013_Georgia Hong Kong_2018,,,3,1013,,,,,0,,,2018,,,,,,,21,2,Asia
1014_Mexico Peru_2011,,,3,1014,,,,,1,,,2011,,,,,,,19,2,Americas
1015_Australia Hong Kong_2019,,,2,1015,,,,,1,,,2019,,,,,,,19,2,Asia
1017_Korea UK_2019,,,2,1017,,,,,1,,,2019,,,,,,,65,4,Intercontinental
1022_Georgia UK_2019,,,2,1022,,,,,0,,,2019,,,,,,,77,4,Intercontinental
1031_Pacific States UK_2019,,,2,1031,,,,,0,,,2019,,,,,,,16,1,Intercontinental
1035_Eastern and Southern African States UK_2019,,,2,1035,,,,,0,,,2019,,,,,,,33,2,Intercontinental
1036_CARIFORUM UK_2019,,,2,1036,,,,,1,,,2019,,,,,,,44,3,
1037_Southern African Customs Union Mozambique (SACUM) UK_2019,,,2,1037,,,,,0,,,2019,,,,,,,21,2,Intercontinental
1038_Brazil Paraguay_2020,,,3,1038,,,,,0,,,2020,,,,,,,0,1,Americas
1040_Eurasian Economic Union (EAEU)_2014,,,3,1040,,,,,0,,,2014,,,,,,,16,2,Intercontinental
1041_EFTA Turkey_2018,,,2,1041,,,,,0,,,2018,,,,,,,36,3,Europe
1043_Paraguay Taiwan_2017,,,3,1043,,,,,0,,,2017,,,,,,,4,1,Intercontinental
1044_Regional Comprehensive Economic Partnership (RCEP)_2020,,,2,1044,,,,,1,,,2020,,,,,,,23,1,Intercontinental
1045_Colombia Mexico_2011,,,3,1045,,,,,1,,,2011,,,,,,,0,1,Americas
1046_EC UK_2020,,,2,1046,,,,,0,,,2020,,,,,,,118,5,Europe
1047_China Mauritius_2019,,,3,1047,,,,,0,,,2019,,,,,,,19,2,Intercontinental
1048_Turkey UK_2020,,,2,1048,,,,,0,,,2020,,,,,,,12,3,Intercontinental
